name,gmaps_link,opening_hour,address,opening_day,location,schedule
Pasar Malam Gong Badak,https://www.google.com/maps/place/Pasar+Malam+Gong+Badak/data=!4m7!3m6!1s0x31b7bb50044f8bb7:0xae2321b40058558e!8m2!3d5.3905878!4d103.0804389!16s%2Fg%2F11pv6y4gn7!19sChIJt4tPBFC7tzERjlVYALQhI64?authuser=0&hl=en&rclk=1,8:35 pm-1:25 am,"93rj+65, Kawasan Perindustrian Gong Badak, 21300 Kuala Terengganu, Terengganu","[""mon"", ""tue"", ""wed"", ""thu"", ""fri"", ""sat"", ""sun""]","{""latitude"": 5.3905878, ""longitude"": 103.08043889999999, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Gong+Badak/data=!4m7!3m6!1s0x31b7bb50044f8bb7:0xae2321b40058558e!8m2!3d5.3905878!4d103.0804389!16s%2Fg%2F11pv6y4gn7!19sChIJt4tPBFC7tzERjlVYALQhI64?authuser=0&hl=en&rclk=1""}","[{""days"": [""mon"", ""tue"", ""wed"", ""thu"", ""fri""], ""times"": [{""start"": ""20:35"", ""end"": ""01:25""}]}, {""days"": [""sat""], ""times"": [{""start"": ""09:40"", ""end"": ""03:50""}]}, {""days"": [""sun""], ""times"": [{""start"": ""09:40"", ""end"": ""22:10""}]}]"
Pulau Duyong Night Market,https://www.google.com/maps/place/Pulau+Duyong+Night+Market/data=!4m7!3m6!1s0x31b7be869ff09843:0x1258a11b7f5b6fa9!8m2!3d5.3295885!4d103.1222531!16s%2Fg%2F11cnccm524!19sChIJQ5jwn4a-tzERqW9bfxuhWBI?authuser=0&hl=en&rclk=1,,"Pulau Duyung Besar, 21200 Kuala Terengganu, Terengganu","[""mon"", ""tue"", ""wed"", ""thu"", ""fri"", ""sat"", ""sun""]","{""latitude"": 5.3295885, ""longitude"": 103.1222531, ""gmaps_link"": ""https://www.google.com/maps/place/Pulau+Duyong+Night+Market/data=!4m7!3m6!1s0x31b7be869ff09843:0x1258a11b7f5b6fa9!8m2!3d5.3295885!4d103.1222531!16s%2Fg%2F11cnccm524!19sChIJQ5jwn4a-tzERqW9bfxuhWBI?authuser=0&hl=en&rclk=1""}",[]
"Pasarnita Tanjung, Kuala Terengganu","https://www.google.com/maps/place/Pasarnita+Tanjung,+Kuala+Terengganu/data=!4m7!3m6!1s0x31b7bddf45ca3e55:0x9e39c186960034c4!8m2!3d5.3363875!4d103.1459989!16s%2Fg%2F11c6fv_6ky!19sChIJVT7KRd-9tzERxDQAlobBOZ4?authuser=0&hl=en&rclk=1",6 pm-1 am,"Tapak Pasar Malam Tanjung, 149, Jalan Sultan Zainal Abidin, Kampung Tanjung Paya, 20000 Kuala Terengganu, Terengganu","[""mon"", ""tue"", ""wed"", ""thu"", ""fri"", ""sat"", ""sun""]","{""latitude"": 5.3363875, ""longitude"": 103.1459989, ""gmaps_link"": ""https://www.google.com/maps/place/Pasarnita+Tanjung,+Kuala+Terengganu/data=!4m7!3m6!1s0x31b7bddf45ca3e55:0x9e39c186960034c4!8m2!3d5.3363875!4d103.1459989!16s%2Fg%2F11c6fv_6ky!19sChIJVT7KRd-9tzERxDQAlobBOZ4?authuser=0&hl=en&rclk=1""}","[{""days"": [""mon"", ""tue"", ""wed"", ""thu"", ""fri"", ""sat"", ""sun""], ""times"": [{""start"": ""18:00"", ""end"": ""01:00""}]}]"
KT Walk Uptown Market,https://www.google.com/maps/place/KT+Walk+Uptown+Market/data=!4m7!3m6!1s0x31b7be7a2b80cce5:0xc28d9185f1779429!8m2!3d5.3295844!4d103.1374202!16s%2Fg%2F11cmtwz52y!19sChIJ5cyAK3q-tzERKZR38YWRjcI?authuser=0&hl=en&rclk=1,3 pm-12 am,"Jalan Sultan Ismail, 20200 Kuala Terengganu, Terengganu","[""fri""]","{""latitude"": 5.3295844, ""longitude"": 103.1374202, ""gmaps_link"": ""https://www.google.com/maps/place/KT+Walk+Uptown+Market/data=!4m7!3m6!1s0x31b7be7a2b80cce5:0xc28d9185f1779429!8m2!3d5.3295844!4d103.1374202!16s%2Fg%2F11cmtwz52y!19sChIJ5cyAK3q-tzERKZR38YWRjcI?authuser=0&hl=en&rclk=1""}","[{""days"": [""fri""], ""times"": [{""start"": ""15:00"", ""end"": ""00:00""}]}]"
Pasar Malam Wakaf Tengah,https://www.google.com/maps/place/Pasar+Malam+Wakaf+Tengah/data=!4m7!3m6!1s0x31b7a5f1f7aa03e7:0x4a997c18caf42066!8m2!3d5.4276862!4d103.0571078!16s%2Fg%2F11mbsf0h0d!19sChIJ5wOq9_GltzERZiD0yhh8mUo?authuser=0&hl=en&rclk=1,4:30-8 pm,"Simpang 4, Wakaf Tengah, Kampung Wakaf Tengah, Kuala Terengganu, 6614, Kampung Mengabang Telung, 21030 Kuala Terengganu, Terengganu","[""wed"", ""sun""]","{""latitude"": 5.4276862, ""longitude"": 103.0571078, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Wakaf+Tengah/data=!4m7!3m6!1s0x31b7a5f1f7aa03e7:0x4a997c18caf42066!8m2!3d5.4276862!4d103.0571078!16s%2Fg%2F11mbsf0h0d!19sChIJ5wOq9_GltzERZiD0yhh8mUo?authuser=0&hl=en&rclk=1""}","[{""days"": [""wed"", ""sun""], ""times"": [{""start"": ""16:30"", ""end"": ""20:00""}]}]"
Pasar Malam Tok Adis,https://www.google.com/maps/place/Pasar+Malam+Tok+Adis/data=!4m7!3m6!1s0x31b7bf2291809b81:0xe0741db8f3883bee!8m2!3d5.2812091!4d103.1618568!16s%2Fg%2F11fm705rb5!19sChIJgZuAkSK_tzER7juI87gddOA?authuser=0&hl=en&rclk=1,4-8 pm,"Jln Tok Adis, 20400 Kuala Terengganu, Terengganu","[""wed""]","{""latitude"": 5.2812091, ""longitude"": 103.1618568, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Tok+Adis/data=!4m7!3m6!1s0x31b7bf2291809b81:0xe0741db8f3883bee!8m2!3d5.2812091!4d103.1618568!16s%2Fg%2F11fm705rb5!19sChIJgZuAkSK_tzER7juI87gddOA?authuser=0&hl=en&rclk=1""}","[{""days"": [""wed""], ""times"": [{""start"": ""16:00"", ""end"": ""20:00""}]}]"
Pasar Malam Kampung Baru Seberang Takir,https://www.google.com/maps/place/Pasar+Malam+Kampung+Baru+Seberang+Takir/data=!4m7!3m6!1s0x31b7bd5925de8ba5:0xd1a3739d5266b519!8m2!3d5.3595343!4d103.1272352!16s%2Fg%2F11h985c05m!19sChIJpYveJVm9tzERGbVmUp1zo9E?authuser=0&hl=en&rclk=1,4-8 pm,"Lot 12785, Kampung Baru Seberang Takir, 21300 Kuala Terengganu, Terengganu","[""wed""]","{""latitude"": 5.3595343, ""longitude"": 103.1272352, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Kampung+Baru+Seberang+Takir/data=!4m7!3m6!1s0x31b7bd5925de8ba5:0xd1a3739d5266b519!8m2!3d5.3595343!4d103.1272352!16s%2Fg%2F11h985c05m!19sChIJpYveJVm9tzERGbVmUp1zo9E?authuser=0&hl=en&rclk=1""}","[{""days"": [""wed""], ""times"": [{""start"": ""16:00"", ""end"": ""20:00""}]}]"
Pasar Malam Nibong Stesen,https://www.google.com/maps/place/Pasar+Malam+Nibong+Stesen/data=!4m7!3m6!1s0x31c805cb8c934ae1:0x4a20f25507394e5c!8m2!3d4.7746164!4d103.4069148!16s%2Fg%2F11h0b5g92r!19sChIJ4UqTjMsFyDERXE45B1XyIEo?authuser=0&hl=en&rclk=1,,"Kampung Nibung, 23000 Kuala Dungun, Terengganu","[""mon"", ""tue"", ""wed"", ""thu"", ""fri"", ""sat"", ""sun""]","{""latitude"": 4.7746164, ""longitude"": 103.4069148, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Nibong+Stesen/data=!4m7!3m6!1s0x31c805cb8c934ae1:0x4a20f25507394e5c!8m2!3d4.7746164!4d103.4069148!16s%2Fg%2F11h0b5g92r!19sChIJ4UqTjMsFyDERXE45B1XyIEo?authuser=0&hl=en&rclk=1""}",[]
Pasar Malam Kebor Besar(khamis),https://www.google.com/maps/place/Pasar+Malam+Kebor+Besar%28Khamis%29/data=!4m7!3m6!1s0x31b7b92134d13cad:0xad1566a3a3c4a3b7!8m2!3d5.307649!4d103.055993!16s%2Fg%2F11vkfc7zj6!19sChIJrTzRNCG5tzERt6PEo6NmFa0?authuser=0&hl=en&rclk=1,4-8 pm,"8354+39, Kampung Kebor Besar, 21200 Kuala Terengganu, Terengganu","[""thu""]","{""latitude"": 5.307649, ""longitude"": 103.055993, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Kebor+Besar%28Khamis%29/data=!4m7!3m6!1s0x31b7b92134d13cad:0xad1566a3a3c4a3b7!8m2!3d5.307649!4d103.055993!16s%2Fg%2F11vkfc7zj6!19sChIJrTzRNCG5tzERt6PEo6NmFa0?authuser=0&hl=en&rclk=1""}","[{""days"": [""thu""], ""times"": [{""start"": ""16:00"", ""end"": ""20:00""}]}]"
Uptown Pulau Warisan,https://www.google.com/maps/place/Uptown+Pulau+Warisan/data=!4m7!3m6!1s0x31b7bffefd49a301:0x7d4f689a6bf54440!8m2!3d5.3323916!4d103.1315629!16s%2Fg%2F11v68cp027!19sChIJAaNJ_f6_tzERQET1a5poT30?authuser=0&hl=en&rclk=1,"12 am-12 pm, 5 pm-12 am","219, Jalan Kampung Cina, 20100 Kuala Terengganu, Terengganu","[""mon"", ""tue"", ""wed"", ""thu"", ""fri"", ""sat""]","{""latitude"": 5.332391599999999, ""longitude"": 103.13156289999999, ""gmaps_link"": ""https://www.google.com/maps/place/Uptown+Pulau+Warisan/data=!4m7!3m6!1s0x31b7bffefd49a301:0x7d4f689a6bf54440!8m2!3d5.3323916!4d103.1315629!16s%2Fg%2F11v68cp027!19sChIJAaNJ_f6_tzERQET1a5poT30?authuser=0&hl=en&rclk=1""}","[{""days"": [""mon"", ""wed"", ""thu"", ""fri""], ""times"": [{""start"": ""00:00"", ""end"": ""12:00""}]}, {""days"": [""tue"", ""sat""], ""times"": [{""start"": ""17:00"", ""end"": ""00:00""}]}]"
Pasar Malam Paka,https://www.google.com/maps/place/Pasar+Malam+Paka/data=!4m7!3m6!1s0x31c80c88ec001233:0xfa7ceacbabc871e9!8m2!3d4.6361566!4d103.4380006!16s%2Fg%2F11cnq4fwy5!19sChIJMxIA7IgMyDER6XHIq8vqfPo?authuser=0&hl=en&rclk=1,5-9 pm,"Pusat Perniagaan Paka, 23100 Paka, Terengganu","[""wed"", ""sat""]","{""latitude"": 4.6361566, ""longitude"": 103.4380006, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Paka/data=!4m7!3m6!1s0x31c80c88ec001233:0xfa7ceacbabc871e9!8m2!3d4.6361566!4d103.4380006!16s%2Fg%2F11cnq4fwy5!19sChIJMxIA7IgMyDER6XHIq8vqfPo?authuser=0&hl=en&rclk=1""}","[{""days"": [""wed"", ""sat""], ""times"": [{""start"": ""17:00"", ""end"": ""21:00""}]}]"
Pasar Malam Tanjung,https://www.google.com/maps/place/Pasar+Malam+Tanjung/data=!4m7!3m6!1s0x31b7bddf460e7a93:0xaf65de8cbc365fc0!8m2!3d5.3361981!4d103.1456649!16s%2Fg%2F11hbnhwj5y!19sChIJk3oORt-9tzERwF82vIzeZa8?authuser=0&hl=en&rclk=1,,"Kampung Tanjung Kapur, 20000 Kuala Terengganu, Terengganu","[""mon"", ""tue"", ""wed"", ""thu"", ""fri"", ""sat"", ""sun""]","{""latitude"": 5.3361981, ""longitude"": 103.1456649, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Tanjung/data=!4m7!3m6!1s0x31b7bddf460e7a93:0xaf65de8cbc365fc0!8m2!3d5.3361981!4d103.1456649!16s%2Fg%2F11hbnhwj5y!19sChIJk3oORt-9tzERwF82vIzeZa8?authuser=0&hl=en&rclk=1""}",[]
Pasar Malam Wakaf Dua,https://www.google.com/maps/place/Pasar+Malam+Wakaf+Dua/data=!4m7!3m6!1s0x31b7c173161bb451:0xdf13df375a6cd233!8m2!3d5.245708!4d103.0958135!16s%2Fg%2F11h3gp67hl!19sChIJUbQbFnPBtzERM9JsWjffE98?authuser=0&hl=en&rclk=1,3-9 pm,"12, T170, Kampung Pengkalan Lebah, 21400 Kuala Terengganu, Terengganu","[""wed""]","{""latitude"": 5.245708, ""longitude"": 103.09581349999999, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Wakaf+Dua/data=!4m7!3m6!1s0x31b7c173161bb451:0xdf13df375a6cd233!8m2!3d5.245708!4d103.0958135!16s%2Fg%2F11h3gp67hl!19sChIJUbQbFnPBtzERM9JsWjffE98?authuser=0&hl=en&rclk=1""}","[{""days"": [""wed""], ""times"": [{""start"": ""15:00"", ""end"": ""21:00""}]}]"
Pasar Malam Seri Budiman,https://www.google.com/maps/place/Pasar+Malam+Seri+Budiman/data=!4m7!3m6!1s0x31b7bfeff83384a7:0x4938392732a478c9!8m2!3d5.3086845!4d103.1507367!16s%2Fg%2F11vbzjqbzy!19sChIJp4Qz-O-_tzERyXikMic5OEk?authuser=0&hl=en&rclk=1,4:45-8 pm,"Jln Kenanga, 21100 Kuala Terengganu, Terengganu","[""thu""]","{""latitude"": 5.3086845, ""longitude"": 103.1507367, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Seri+Budiman/data=!4m7!3m6!1s0x31b7bfeff83384a7:0x4938392732a478c9!8m2!3d5.3086845!4d103.1507367!16s%2Fg%2F11vbzjqbzy!19sChIJp4Qz-O-_tzERyXikMic5OEk?authuser=0&hl=en&rclk=1""}","[{""days"": [""thu""], ""times"": [{""start"": ""16:45"", ""end"": ""20:00""}]}]"
Pasar Malam Chukai,https://www.google.com/maps/place/Pasar+Malam+Chukai/data=!4m7!3m6!1s0x31c8871d9ae6d635:0x65a35e31fb523869!8m2!3d4.2387114!4d103.4199567!16s%2Fg%2F11b7qvkyxk!19sChIJNdbmmh2HyDERaThS-zFeo2U?authuser=0&hl=en&rclk=1,5-10 pm,"Jalan Padang, Kampung Gong Limau, 24000 Chukai, Terengganu","[""mon"", ""thu""]","{""latitude"": 4.2387114, ""longitude"": 103.4199567, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Chukai/data=!4m7!3m6!1s0x31c8871d9ae6d635:0x65a35e31fb523869!8m2!3d4.2387114!4d103.4199567!16s%2Fg%2F11b7qvkyxk!19sChIJNdbmmh2HyDERaThS-zFeo2U?authuser=0&hl=en&rclk=1""}","[{""days"": [""mon"", ""thu""], ""times"": [{""start"": ""17:00"", ""end"": ""22:00""}]}]"
Pasar Malam Wakaf Tembesu,https://www.google.com/maps/place/Pasar+Malam+Wakaf+Tembesu/data=!4m7!3m6!1s0x31b7bd8fbcacb671:0x9f8e9704729bd613!8m2!3d5.3606626!4d103.0913522!16s%2Fg%2F11fqhfxsjd!19sChIJcbasvI-9tzERE9abcgSXjp8?authuser=0&hl=en&rclk=1,4-8 pm,"Unnamed Road, Kampung Wakaf Tembesu, 21300 Kuala Terengganu, Terengganu","[""mon""]","{""latitude"": 5.3606625999999995, ""longitude"": 103.09135219999999, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Wakaf+Tembesu/data=!4m7!3m6!1s0x31b7bd8fbcacb671:0x9f8e9704729bd613!8m2!3d5.3606626!4d103.0913522!16s%2Fg%2F11fqhfxsjd!19sChIJcbasvI-9tzERE9abcgSXjp8?authuser=0&hl=en&rclk=1""}","[{""days"": [""mon""], ""times"": [{""start"": ""16:00"", ""end"": ""20:00""}]}]"
Pasar Malam Kijal,https://www.google.com/maps/place/Pasar+Malam+Kijal/data=!4m7!3m6!1s0x31c87ec140000001:0x3859a55e5b07c547!8m2!3d4.3374008!4d103.4830342!16s%2Fg%2F1pzw23w5h!19sChIJAQAAQMF-yDERR8UHW16lWTg?authuser=0&hl=en&rclk=1,,"24100, Jalan Pantai Kijal, Kampung Titian Berayung, 24100 Kijal, Terengganu","[""mon"", ""tue"", ""wed"", ""thu"", ""fri"", ""sat"", ""sun""]","{""latitude"": 4.3374008, ""longitude"": 103.48303419999999, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Kijal/data=!4m7!3m6!1s0x31c87ec140000001:0x3859a55e5b07c547!8m2!3d4.3374008!4d103.4830342!16s%2Fg%2F1pzw23w5h!19sChIJAQAAQMF-yDERR8UHW16lWTg?authuser=0&hl=en&rclk=1""}",[]
Pasar Malam Batu Hampar(khamis),https://www.google.com/maps/place/Pasar+Malam+Batu+Hampar%28Khamis%29/data=!4m7!3m6!1s0x31b7b9be76524a3f:0x13d5fabafdab5991!8m2!3d5.2697314!4d103.0427385!16s%2Fg%2F11vc2jz25x!19sChIJP0pSdr65tzERkVmr_br61RM?authuser=0&hl=en&rclk=1,4-8 pm,"729v+m7, Kampung Peradong, 21210 Kuala Terengganu, Terengganu","[""thu""]","{""latitude"": 5.2697313999999995, ""longitude"": 103.0427385, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Batu+Hampar%28Khamis%29/data=!4m7!3m6!1s0x31b7b9be76524a3f:0x13d5fabafdab5991!8m2!3d5.2697314!4d103.0427385!16s%2Fg%2F11vc2jz25x!19sChIJP0pSdr65tzERkVmr_br61RM?authuser=0&hl=en&rclk=1""}","[{""days"": [""thu""], ""times"": [{""start"": ""16:00"", ""end"": ""20:00""}]}]"
Pasar Malam Taman Safiah Murni,https://www.google.com/maps/place/Pasar+Malam+Taman+Safiah+Murni/data=!4m7!3m6!1s0x31b7c1203ecd5387:0xabe39401a75fc7cb!8m2!3d5.212321!4d103.1036462!16s%2Fg%2F11f50www5y!19sChIJh1PNPiDBtzERy8dfpwGU46s?authuser=0&hl=en&rclk=1,4-8 pm,"Unnamed Road, Kampung Padang Mengkuang, 21400 Kuala Terengganu, Terengganu","[""thu""]","{""latitude"": 5.212321, ""longitude"": 103.1036462, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Taman+Safiah+Murni/data=!4m7!3m6!1s0x31b7c1203ecd5387:0xabe39401a75fc7cb!8m2!3d5.212321!4d103.1036462!16s%2Fg%2F11f50www5y!19sChIJh1PNPiDBtzERy8dfpwGU46s?authuser=0&hl=en&rclk=1""}","[{""days"": [""thu""], ""times"": [{""start"": ""16:00"", ""end"": ""20:00""}]}]"
Pasar Malam Banggol Peradong(isnin),https://www.google.com/maps/place/Pasar+Malam+Banggol+Peradong%28Isnin%29/data=!4m7!3m6!1s0x31b7b971a7e3c827:0x27cbacecf85f7b9d!8m2!3d5.3247275!4d103.04984!16s%2Fg%2F11l38ynpkl!19sChIJJ8jjp3G5tzERnXtf-Oysyyc?authuser=0&hl=en&rclk=1,4-8 pm,"82fx+xv, Kampung Banggol Peradung, 21200 Kuala Terengganu, Terengganu","[""mon""]","{""latitude"": 5.3247275, ""longitude"": 103.04983999999999, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Banggol+Peradong%28Isnin%29/data=!4m7!3m6!1s0x31b7b971a7e3c827:0x27cbacecf85f7b9d!8m2!3d5.3247275!4d103.04984!16s%2Fg%2F11l38ynpkl!19sChIJJ8jjp3G5tzERnXtf-Oysyyc?authuser=0&hl=en&rclk=1""}","[{""days"": [""mon""], ""times"": [{""start"": ""16:00"", ""end"": ""20:00""}]}]"
Pasar Minggu Padang Hiliran,https://www.google.com/maps/place/Pasar+Minggu+Padang+Hiliran/data=!4m7!3m6!1s0x31b7bef601bd2085:0xced36de8ce0114d9!8m2!3d5.3102275!4d103.1275865!16s%2Fg%2F11cjk28jqd!19sChIJhSC9Afa-tzER2RQBzuht084?authuser=0&hl=en&rclk=1,5-10 pm,"21000 Kuala Terengganu, Terengganu","[""sat""]","{""latitude"": 5.3102275, ""longitude"": 103.12758649999999, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Minggu+Padang+Hiliran/data=!4m7!3m6!1s0x31b7bef601bd2085:0xced36de8ce0114d9!8m2!3d5.3102275!4d103.1275865!16s%2Fg%2F11cjk28jqd!19sChIJhSC9Afa-tzER2RQBzuht084?authuser=0&hl=en&rclk=1""}","[{""days"": [""sat""], ""times"": [{""start"": ""17:00"", ""end"": ""22:00""}]}]"
Pasar Malam Drawbridge,https://www.google.com/maps/place/Pasar+Malam+Drawbridge/data=!4m7!3m6!1s0x31b7bd0046d7a843:0x6b857fbec68d0ae0!8m2!3d5.343633!4d103.1455288!16s%2Fg%2F11y3j5zcyd!19sChIJQ6jXRgC9tzER4AqNxr5_hWs?authuser=0&hl=en&rclk=1,6 am-11:55 pm,"20000, Terengganu","[""mon"", ""thu"", ""fri"", ""sat"", ""sun""]","{""latitude"": 5.343633, ""longitude"": 103.1455288, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Drawbridge/data=!4m7!3m6!1s0x31b7bd0046d7a843:0x6b857fbec68d0ae0!8m2!3d5.343633!4d103.1455288!16s%2Fg%2F11y3j5zcyd!19sChIJQ6jXRgC9tzER4AqNxr5_hWs?authuser=0&hl=en&rclk=1""}","[{""days"": [""mon"", ""thu"", ""fri"", ""sat""], ""times"": [{""start"": ""06:00"", ""end"": ""23:55""}]}, {""days"": [""sun""], ""times"": [{""start"": ""06:00"", ""end"": ""23:59""}]}]"
Pasar Malam Pak Tuyu,https://www.google.com/maps/place/Pasar+Malam+Pak+Tuyu/data=!4m7!3m6!1s0x31b7bddaf604edcb:0x37ebd595cd42113d!8m2!3d5.4090466!4d103.0841165!16s%2Fg%2F11s8kz2jk3!19sChIJy-0E9tq9tzERPRFCzZXV6zc?authuser=0&hl=en&rclk=1,4:30-7:30 pm,"Taman Desa Murni, 21300 Kuala Terengganu, Terengganu","[""thu""]","{""latitude"": 5.4090466, ""longitude"": 103.0841165, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Pak+Tuyu/data=!4m7!3m6!1s0x31b7bddaf604edcb:0x37ebd595cd42113d!8m2!3d5.4090466!4d103.0841165!16s%2Fg%2F11s8kz2jk3!19sChIJy-0E9tq9tzERPRFCzZXV6zc?authuser=0&hl=en&rclk=1""}","[{""days"": [""thu""], ""times"": [{""start"": ""16:30"", ""end"": ""19:30""}]}]"
Pasar Malam Sungai Kerak,https://www.google.com/maps/place/Pasar+Malam+Sungai+Kerak/data=!4m7!3m6!1s0x31b7ea5d52699be1:0x5ca8205d8ffe26f7!8m2!3d5.2011086!4d103.1975483!16s%2Fg%2F11hcs8ch9l!19sChIJ4ZtpUl3qtzER9yb-j10gqFw?authuser=0&hl=en&rclk=1,3:30-8 pm,"21600 Marang, Terengganu","[""fri""]","{""latitude"": 5.2011085999999995, ""longitude"": 103.1975483, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Sungai+Kerak/data=!4m7!3m6!1s0x31b7ea5d52699be1:0x5ca8205d8ffe26f7!8m2!3d5.2011086!4d103.1975483!16s%2Fg%2F11hcs8ch9l!19sChIJ4ZtpUl3qtzER9yb-j10gqFw?authuser=0&hl=en&rclk=1""}","[{""days"": [""fri""], ""times"": [{""start"": ""15:30"", ""end"": ""20:00""}]}]"
Pasar Malam Kg Gong Pak Damat,https://www.google.com/maps/place/Pasar+Malam+Kg+Gong+Pak+Damat/data=!4m7!3m6!1s0x31b7bd0075500e31:0x5e884189b6fc84e6!8m2!3d5.3497442!4d103.1006374!16s%2Fg%2F11k9_b6hfp!19sChIJMQ5QdQC9tzER5oT8tolBiF4?authuser=0&hl=en&rclk=1,,"21200 Kuala Terengganu, Terengganu","[""mon"", ""tue"", ""wed"", ""thu"", ""fri"", ""sat"", ""sun""]","{""latitude"": 5.3497442, ""longitude"": 103.1006374, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Kg+Gong+Pak+Damat/data=!4m7!3m6!1s0x31b7bd0075500e31:0x5e884189b6fc84e6!8m2!3d5.3497442!4d103.1006374!16s%2Fg%2F11k9_b6hfp!19sChIJMQ5QdQC9tzER5oT8tolBiF4?authuser=0&hl=en&rclk=1""}",[]
Pasar Malam Giant,https://www.google.com/maps/place/Pasar+Malam+Giant/data=!4m7!3m6!1s0x31b7bf2aee479f29:0x174d81d14fc93bfc!8m2!3d5.310509!4d103.1293757!16s%2Fg%2F11h9847mhb!19sChIJKZ9H7iq_tzER_DvJT9GBTRc?authuser=0&hl=en&rclk=1,4-8 pm,"KT Business Centre, No 25-02, Aras 2, Jalan Sultan Mohamad, 21100 Kuala Terengganu, Terengganu","[""sat""]","{""latitude"": 5.310509, ""longitude"": 103.1293757, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Giant/data=!4m7!3m6!1s0x31b7bf2aee479f29:0x174d81d14fc93bfc!8m2!3d5.310509!4d103.1293757!16s%2Fg%2F11h9847mhb!19sChIJKZ9H7iq_tzER_DvJT9GBTRc?authuser=0&hl=en&rclk=1""}","[{""days"": [""sat""], ""times"": [{""start"": ""16:00"", ""end"": ""20:00""}]}]"
"Pasar Malam Kampung Baru, Dataran Pok Leh","https://www.google.com/maps/place/Pasar+Malam+Kampung+Baru,+Dataran+Pok+Leh/data=!4m7!3m6!1s0x31c87139b3892ea7:0x14c77b8e4ae785e5!8m2!3d4.4956729!4d103.4370856!16s%2Fg%2F1pzrd2d0g!19sChIJpy6JszlxyDER5YXnSo57xxQ?authuser=0&hl=en&rclk=1",5-10 pm,"Jalan Cabang, Kampung Baru, 24300 Kerteh, Terengganu, 24300","[""sat""]","{""latitude"": 4.4956729, ""longitude"": 103.43708559999999, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Kampung+Baru,+Dataran+Pok+Leh/data=!4m7!3m6!1s0x31c87139b3892ea7:0x14c77b8e4ae785e5!8m2!3d4.4956729!4d103.4370856!16s%2Fg%2F1pzrd2d0g!19sChIJpy6JszlxyDER5YXnSo57xxQ?authuser=0&hl=en&rclk=1""}","[{""days"": [""sat""], ""times"": [{""start"": ""17:00"", ""end"": ""22:00""}]}]"
Pasar Malam Kampung Rawai,https://www.google.com/maps/place/Pasar+Malam+Kampung+Rawai/data=!4m7!3m6!1s0x31b7c728537818f7:0x744cd291b2ef689b!8m2!3d5.2070002!4d103.0793235!16s%2Fg%2F11f7psnqtb!19sChIJ9xh4UyjHtzERm2jvspHSTHQ?authuser=0&hl=en&rclk=1,5-8 pm,"Kampung Rawai, 21400 Kuala Terengganu, Terengganu","[""mon""]","{""latitude"": 5.2070001999999995, ""longitude"": 103.0793235, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Kampung+Rawai/data=!4m7!3m6!1s0x31b7c728537818f7:0x744cd291b2ef689b!8m2!3d5.2070002!4d103.0793235!16s%2Fg%2F11f7psnqtb!19sChIJ9xh4UyjHtzERm2jvspHSTHQ?authuser=0&hl=en&rclk=1""}","[{""days"": [""mon""], ""times"": [{""start"": ""17:00"", ""end"": ""20:00""}]}]"
