name,gmaps_link,opening_hour,address,opening_day,location,schedule
Pasar Malam Bandar Darulaman,https://www.google.com/maps/place/Pasar+Malam+Bandar+Darulaman/data=!4m7!3m6!1s0x304b59ebbc2915c3:0x31a46073d2081beb!8m2!3d6.2363157!4d100.4214477!16s%2Fg%2F11d_8j5w6l!19sChIJwxUpvOtZSzAR6xsI0nNgpDE?authuser=0&hl=en&rclk=1,4-10:30 pm,"Bandar Darulaman, 06000 Jitra, Kedah","[""thu""]","{""latitude"": 6.2363157, ""longitude"": 100.4214477, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Bandar+Darulaman/data=!4m7!3m6!1s0x304b59ebbc2915c3:0x31a46073d2081beb!8m2!3d6.2363157!4d100.4214477!16s%2Fg%2F11d_8j5w6l!19sChIJwxUpvOtZSzAR6xsI0nNgpDE?authuser=0&hl=en&rclk=1""}","[{""days"": [""thu""], ""times"": [{""start"": ""16:00"", ""end"": ""22:30""}]}]"
Pasar Malam Batu Feringghi,https://www.google.com/maps/place/Pasar+Malam+Batu+Feringghi/data=!4m7!3m6!1s0x304ae7fc4f7434af:0xceedde3acab29de9!8m2!3d5.4742718!4d100.2482593!16s%2Fg%2F1q62jy_zk!19sChIJrzR0T_znSjAR6Z2yyjre7c4?authuser=0&hl=en&rclk=1,7-10 pm,"Jalan Pantai Batu, Taman Pantai Batu, 11200 Tanjong Bungah, Pulau Pinang","[""mon"", ""tue"", ""wed"", ""thu"", ""fri"", ""sat"", ""sun""]","{""latitude"": 5.4742717999999995, ""longitude"": 100.2482593, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Batu+Feringghi/data=!4m7!3m6!1s0x304ae7fc4f7434af:0xceedde3acab29de9!8m2!3d5.4742718!4d100.2482593!16s%2Fg%2F1q62jy_zk!19sChIJrzR0T_znSjAR6Z2yyjre7c4?authuser=0&hl=en&rclk=1""}","[{""days"": [""mon"", ""tue"", ""wed"", ""thu""], ""times"": [{""start"": ""19:00"", ""end"": ""22:00""}]}, {""days"": [""fri"", ""sat"", ""sun""], ""times"": [{""start"": ""19:00"", ""end"": ""23:00""}]}]"
Pasar Malam Taman Keladi,https://www.google.com/maps/place/Pasar+Malam+Taman+Keladi/data=!4m7!3m6!1s0x304ad744e1198341:0x7ce6dff22541ed8e!8m2!3d5.6161595!4d100.5043715!16s%2Fg%2F11hyth2ztz!19sChIJQYMZ4UTXSjARju1BJfLf5nw?authuser=0&hl=en&rclk=1,,"365, Lorong Angsana 1, Taman Keladi, 08000 Sungai Petani, Kedah","[""mon"", ""tue"", ""wed"", ""thu"", ""fri"", ""sat"", ""sun""]","{""latitude"": 5.616159499999999, ""longitude"": 100.50437149999999, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Taman+Keladi/data=!4m7!3m6!1s0x304ad744e1198341:0x7ce6dff22541ed8e!8m2!3d5.6161595!4d100.5043715!16s%2Fg%2F11hyth2ztz!19sChIJQYMZ4UTXSjARju1BJfLf5nw?authuser=0&hl=en&rclk=1""}",[]
Pasar Malam Kampong Melayu,https://www.google.com/maps/place/Pasar+Malam+Kampong+Melayu/data=!4m7!3m6!1s0x304ac222dcf4336b:0x69a5ae8ca4db9540!8m2!3d5.3994167!4d100.2851142!16s%2Fg%2F11dylw9rsb!19sChIJazP03CLCSjARQJXbpIyupWk?authuser=0&hl=en&rclk=1,5-9:30 pm,"Jalan Pisang Raja, Kampung Melayu, 11500 Ayer Itam, Pulau Pinang","[""mon""]","{""latitude"": 5.3994167, ""longitude"": 100.2851142, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Kampong+Melayu/data=!4m7!3m6!1s0x304ac222dcf4336b:0x69a5ae8ca4db9540!8m2!3d5.3994167!4d100.2851142!16s%2Fg%2F11dylw9rsb!19sChIJazP03CLCSjARQJXbpIyupWk?authuser=0&hl=en&rclk=1""}","[{""days"": [""mon""], ""times"": [{""start"": ""17:00"", ""end"": ""21:30""}]}]"
Pasar Karat Tasek Gelugor,https://www.google.com/maps/place/Pasar+Karat+Tasek+Gelugor/data=!4m7!3m6!1s0x304ad107b2371341:0x3aec938caed6bd08!8m2!3d5.4843432!4d100.4897342!16s%2Fg%2F11g3xdqjcn!19sChIJQRM3sgfRSjARCL3WroyT7Do?authuser=0&hl=en&rclk=1,,"Pasar Karat Malam, Jalan Komersial 2, Tasek Gelugor, Pulau Pinang","[""mon"", ""tue"", ""wed"", ""thu"", ""fri"", ""sat"", ""sun""]","{""latitude"": 5.4843432, ""longitude"": 100.4897342, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Karat+Tasek+Gelugor/data=!4m7!3m6!1s0x304ad107b2371341:0x3aec938caed6bd08!8m2!3d5.4843432!4d100.4897342!16s%2Fg%2F11g3xdqjcn!19sChIJQRM3sgfRSjARCL3WroyT7Do?authuser=0&hl=en&rclk=1""}",[]
Pasar Malam Kubur Panjang,https://www.google.com/maps/place/Pasar+Malam+Kubur+Panjang/data=!4m7!3m6!1s0x304b4d25390ea9eb:0x764dbdfca4ecace1!8m2!3d6.0847786!4d100.5529443!16s%2Fg%2F11g3hh_c6t!19sChIJ66kOOSVNSzAR4azspPy9TXY?authuser=0&hl=en&rclk=1,6 am-9:15 pm,"Kubur Panjang, 06400 Pokok Sena, Kedah","[""fri""]","{""latitude"": 6.0847786, ""longitude"": 100.5529443, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Kubur+Panjang/data=!4m7!3m6!1s0x304b4d25390ea9eb:0x764dbdfca4ecace1!8m2!3d6.0847786!4d100.5529443!16s%2Fg%2F11g3hh_c6t!19sChIJ66kOOSVNSzAR4azspPy9TXY?authuser=0&hl=en&rclk=1""}","[{""days"": [""fri""], ""times"": [{""start"": ""06:00"", ""end"": ""21:15""}]}]"
Pasar Malam Pokok Sena (kedundung),https://www.google.com/maps/place/Pasar+Malam+Pokok+Sena+%28Kedundung%29/data=!4m7!3m6!1s0x304b51144a3bcd1b:0x5e9c9fe540a76d62!8m2!3d6.1633243!4d100.5032978!16s%2Fg%2F11g3z30hw6!19sChIJG807ShRRSzARYm2nQOWfnF4?authuser=0&hl=en&rclk=1,4-9:45 pm,"Taman Bandar Baru, 06400 Pokok Sena, Kedah","[""thu"", ""sun""]","{""latitude"": 6.163324299999999, ""longitude"": 100.5032978, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Pokok+Sena+%28Kedundung%29/data=!4m7!3m6!1s0x304b51144a3bcd1b:0x5e9c9fe540a76d62!8m2!3d6.1633243!4d100.5032978!16s%2Fg%2F11g3z30hw6!19sChIJG807ShRRSzARYm2nQOWfnF4?authuser=0&hl=en&rclk=1""}","[{""days"": [""thu"", ""sun""], ""times"": [{""start"": ""16:00"", ""end"": ""21:45""}]}]"
Ayer Itam Night Market,https://www.google.com/maps/place/Ayer+Itam+Night+Market/data=!4m7!3m6!1s0x304ac21743768fd3:0x78fef512aaf0019f!8m2!3d5.4015207!4d100.2779529!16s%2Fg%2F11f5hct173!19sChIJ0492QxfCSjARnwHwqhL1_ng?authuser=0&hl=en&rclk=1,12:30-9 pm,"Pekan Ayer Itam, 11500 Air Itam, Penang","[""mon"", ""tue"", ""wed"", ""thu"", ""fri"", ""sat"", ""sun""]","{""latitude"": 5.4015207, ""longitude"": 100.2779529, ""gmaps_link"": ""https://www.google.com/maps/place/Ayer+Itam+Night+Market/data=!4m7!3m6!1s0x304ac21743768fd3:0x78fef512aaf0019f!8m2!3d5.4015207!4d100.2779529!16s%2Fg%2F11f5hct173!19sChIJ0492QxfCSjARnwHwqhL1_ng?authuser=0&hl=en&rclk=1""}","[{""days"": [""mon"", ""tue"", ""wed"", ""thu"", ""fri"", ""sat"", ""sun""], ""times"": [{""start"": ""12:30"", ""end"": ""21:00""}]}]"
Pasar Malam Taman Derga Jaya,https://www.google.com/maps/place/Pasar+Malam+Taman+Derga+Jaya/data=!4m7!3m6!1s0x304b45949cb56197:0x4cdd0d134c7e395b!8m2!3d6.1138803!4d100.4014257!16s%2Fg%2F11rmx9nl63!19sChIJl2G1nJRFSzARWzl-TBMN3Uw?authuser=0&hl=en&rclk=1,4:50-7:45 pm,"Taman Derga Jaya, 05300 Alor Setar, Kedah","[""tue""]","{""latitude"": 6.1138803, ""longitude"": 100.40142569999999, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Taman+Derga+Jaya/data=!4m7!3m6!1s0x304b45949cb56197:0x4cdd0d134c7e395b!8m2!3d6.1138803!4d100.4014257!16s%2Fg%2F11rmx9nl63!19sChIJl2G1nJRFSzARWzl-TBMN3Uw?authuser=0&hl=en&rclk=1""}","[{""days"": [""tue""], ""times"": [{""start"": ""16:50"", ""end"": ""19:45""}]}]"
Mat To You Dessert At Paya Terubong Night Market,https://www.google.com/maps/place/Mat+To+You+Dessert+At+Paya+Terubong+Night+Market/data=!4m7!3m6!1s0x304ac21c2659123d:0x80c2c6741322d177!8m2!3d5.3938006!4d100.2766056!16s%2Fg%2F11d_74kk2_!19sChIJPRJZJhzCSjARd9EiE3TGwoA?authuser=0&hl=en&rclk=1,5:30-10:30 pm,"Farlim, 11500 Air Itam, Penang","[""sun""]","{""latitude"": 5.3938006, ""longitude"": 100.2766056, ""gmaps_link"": ""https://www.google.com/maps/place/Mat+To+You+Dessert+At+Paya+Terubong+Night+Market/data=!4m7!3m6!1s0x304ac21c2659123d:0x80c2c6741322d177!8m2!3d5.3938006!4d100.2766056!16s%2Fg%2F11d_74kk2_!19sChIJPRJZJhzCSjARd9EiE3TGwoA?authuser=0&hl=en&rclk=1""}","[{""days"": [""sun""], ""times"": [{""start"": ""17:30"", ""end"": ""22:30""}]}]"
